data fato,cidade,ocorrencias,vitimas_total,idade_media_vitima,furtos,roubos,homicidios,precipitacao,temperatura_maxima,temperatura_minima,temperatura_media,umidade_relativa,vento_velocidade
2021-10-01,passo fundo,53,39.0,42.53846153846154,8,0,0,10.6,23.0,15.6,19.3,91.6,3.1
2021-10-02,passo fundo,41,37.0,40.25,3,0,0,0.0,24.0,13.3,18.65,83.2,2.8
2021-10-03,passo fundo,36,37.0,36.371428571428574,3,2,2,7.0,20.1,16.2,18.15,92.0,2.1
2021-10-04,passo fundo,33,31.0,36.793103448275865,1,1,0,0.8,18.5,13.0,15.75,85.7,2.7
2021-10-05,passo fundo,44,41.0,39.52777777777778,5,2,0,0.2,23.1,6.7,14.9,73.4,2.7
2021-10-06,passo fundo,35,30.0,35.892857142857146,5,2,0,0.0,19.9,14.0,16.95,85.9,2.9
2021-10-07,passo fundo,32,25.0,41.44,8,2,2,4.0,19.9,10.1,15.0,81.3,4.0
2021-10-08,passo fundo,37,35.0,46.0,7,2,1,0.0,20.9,9.7,15.299999999999999,87.1,3.7
2021-10-09,passo fundo,38,41.0,36.08571428571429,5,2,0,23.8,17.4,13.6,15.5,93.7,3.1
2021-10-10,passo fundo,38,37.0,35.23529411764706,7,3,0,0.2,23.8,14.1,18.95,79.4,4.5
2021-10-11,passo fundo,34,29.0,40.26923076923077,6,1,0,0.6,23.0,14.4,18.7,84.1,4.2
2021-10-12,passo fundo,38,36.0,32.94117647058823,2,3,0,9.4,25.4,14.6,20.0,78.8,2.7
2021-10-13,passo fundo,44,34.0,41.18181818181818,8,1,0,0.0,26.4,14.7,20.549999999999997,74.8,4.0
2021-10-14,passo fundo,32,25.0,44.78260869565217,12,0,0,9.2,27.4,16.5,21.95,79.5,4.0
2021-10-15,passo fundo,49,36.0,37.31428571428572,13,1,0,60.2,23.3,16.0,19.65,90.3,3.5
2021-10-16,passo fundo,43,42.0,40.486486486486484,7,1,0,3.0,17.4,12.4,14.899999999999999,88.2,4.5
2021-10-17,passo fundo,38,36.0,41.878787878787875,4,4,1,0.0,16.9,12.4,14.649999999999999,87.6,4.1
2021-10-18,passo fundo,37,38.0,42.31428571428572,4,0,2,0.0,21.3,11.0,16.15,79.0,3.6
2021-10-19,passo fundo,28,26.0,38.375,4,2,0,0.0,23.1,10.6,16.85,65.5,3.6
2021-10-20,passo fundo,37,27.0,36.18518518518518,11,1,0,0.0,23.5,10.1,16.8,62.7,3.6
2021-10-21,passo fundo,30,29.0,38.642857142857146,7,0,0,0.0,24.8,11.4,18.1,63.9,3.2
2021-10-22,passo fundo,49,49.0,36.77272727272727,8,0,0,0.0,26.8,12.4,19.6,59.5,2.5
2021-10-23,passo fundo,40,34.0,43.54838709677419,7,1,0,0.0,21.5,13.6,17.55,80.3,3.7
2021-10-24,passo fundo,35,32.0,34.666666666666664,5,1,1,28.0,20.4,11.6,16.0,72.2,2.7
2021-10-25,passo fundo,44,37.0,40.68571428571428,7,3,0,0.0,25.3,9.7,17.5,55.7,2.7
2021-10-26,passo fundo,32,29.0,43.96153846153846,2,1,0,0.0,27.7,11.6,19.65,44.7,1.5
2021-10-27,passo fundo,34,31.0,42.55172413793103,7,1,0,0.0,29.8,13.9,21.85,43.3,3.7
2021-10-28,passo fundo,43,36.0,37.5,6,0,0,0.0,29.4,14.1,21.75,55.7,3.9
2021-10-29,passo fundo,38,36.0,40.375,6,0,0,0.0,29.4,15.8,22.6,69.5,3.5
2021-10-30,passo fundo,44,40.0,42.78378378378378,6,5,0,15.0,27.8,15.5,21.65,70.8,4.1
2021-10-31,passo fundo,37,37.0,34.05882352941177,2,0,0,0.0,27.7,17.2,22.45,66.2,3.7
